Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Erik,Nilsen,Andreassenhagen 288,Ninahavn,9475,Norge,NO,19610424-9199,+47,02 64 24 07,1961-04-24,True
Linnéa,Andersson,Furustigen 285,Sandviken,17189,Sverige,SE,19960501-8979,+46,002-718 59 62,1996-05-01,True
George,Hicks,Allen Stream 558,North Anthony,90982,Danmark,DK,19860502-6569,+45,+1-857-715-3467x5313,1986-05-02,True
Petter,Lie,Haugegjerdet 24B,Martemark,9417,Norge,NO,19951009-4777,+47,+47 29 59 82 20,1995-10-09,True
Shawn,Hogan,Richard Extension 80922,New Alexis,26392,Danmark,DK,19440122-6934,+45,6449239909,1944-01-22,True
Vegard,Abrahamsen,Ruudspranget 2,Audsund,4461,Norge,NO,19440829-4243,+47,+4737093251,1944-08-29,True
Hilde,Myhre,Knutsentjernet 39G,Kristineøy,5765,Norge,NO,19470214-0818,+47,59375399,1947-02-14,True
Jennifer,Morales,Beard Circles 597,East Reneemouth,20213,Danmark,DK,19811127-3626,+45,729-234-9341x162,1981-11-27,True
Camilla,Lunde,Johansenmyra 7,Nilsen,4300,Norge,NO,19610821-9090,+47,60 42 78 40,1961-08-21,True
Astrid,Nyström,Åkerstigen 0,Borås,97096,Sverige,SE,19550708-1212,+46,08-832 816 06,1955-07-08,True
Geir,Martinsen,Hauglandskogen 4D,Isaksen,7519,Norge,NO,19400623-0674,+47,42326623,1940-06-23,True
Jacob,Lindgren,Björkgatan 94,Nyköping,18693,Sverige,SE,19970719-9341,+46,+46 (0)8 650 384 61,1997-07-19,True
Ari,Venäläinen,Elonpolku 596,Vesanto,16795,Finland,FI,19930618-840Y,+358,+358454139802,1993-06-18,True
Trine,Hauge,Vikgata 4,Edvardsen,3125,Norge,NO,19501103-6479,+47,+47 38 10 49 15,1950-11-03,True
Adrian,Myklebust,Hansenengen 2,Anettevåg,4003,Norge,NO,19740828-4406,+47,941 35 416,1974-08-28,True
Amelie,Eriksson,Industrigatan 625,Borlänge,87823,Sverige,SE,19870223-1284,+46,+46 (0)97 38 41 37,1987-02-23,True
Anita,Blake,Fuentes Branch 639,Tonifort,16909,Danmark,DK,19960521-8891,+45,001-439-445-0873x91117,1996-05-21,True
Gro,Olsen,Hellandengen 5A,Sebastianfjell,9925,Norge,NO,19541019-4123,+47,21229095,1954-10-19,True
Morten,Myhre,Andresenflata 2B,Kristiansen,2427,Norge,NO,19580515-0622,+47,43172248,1958-05-15,True
Åke,Ljung,Parkstigen 5,Nyköping,46015,Sverige,SE,19671029-4731,+46,051-54 67 97,1967-10-29,True
Hannah,Johansson,Björkgatan 24,Mölndal,66207,Sverige,SE,19780501-0155,+46,0243-190 33,1978-05-01,True
Laila,Solberg,Amundsenspranget 3A,Steinsjøen,2305,Norge,NO,19720920-4239,+47,93185181,1972-09-20,True
Robert,Eaton,Louis Fields 51538,South Matthew,09577,Danmark,DK,19541109-0537,+45,(561)469-6663,1954-11-09,True
